,question,contexts,ground_truth,answer,context_precision,faithfulness,answer_relevancy,context_recall
0,What is Element Restaurant known for?,"['[\'“An excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends."" Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.\\nBěhounská 7, Brno, Czech Republic\\nElement Restaurant: Culinary Experience in Brno\\nElement is a restaurant in Brno offering a globally inspired menu prepared from local ingredients by head chef Tomaš Reger. The restaurant is known for its top-quality meals and original cocktails, served by champion bartender Jan Liška. It\\\'s a perfect spot for dinner with partners or friends.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf\', \'Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomáš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan LiÅ¡ka.\\nBěhounská 7\\nElement\\nAn excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends.; url: elementbrno.com\']']","Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.","Element Restaurant is known for its globally inspired menu prepared from local ingredients by head chef Tomaš Reger. The restaurant offers top-quality meals and original cocktails served by champion bartender Jan Liška, making it a perfect spot for a dinner with partners or friends.",0.9999999999,1.0,1.0000000000000016,1.0
1,What is the address of Hostinec U Semináru?,"['[{\'title\': \'Hostinec U Semináru (Brno, Veveří) + Denní menu • Firmy.cz\', \'href\': \'https://www.firmy.cz/detail/2195494-hostinec-u-seminaru-brno-veveri.html\', \'body\': \'Aktuální ověřené informace: adresa, telefon, e-mail, denní menu, provozní hodiny a hodnocení Hostinec U Semináru, Brno, Veveří. Telefon: 549 213 … Přidat firmu. Osobní menu. Seznam.cz. Hostinec U Semináru Denní menu (11:00-14:00) ... Sreality.cz Byty Domy Pozemky ...\'}, {\'title\': \'HOSTINEC U SEMINARU, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor\', \'href\': \'https://www.tripadvisor.com/Restaurant_Review-g274714-d4768092-Reviews-Hostinec_U_Seminaru-Brno_South_Moravian_Region_Moravia.html\', \'body\': ""Smetanova 631/30, Brno 602 00 Czech Republic. +420 549 213 648 + Add website. Open now 11:00 AM - 12:00 AM. Improve this listing. See all (61) 4.5. 143 reviews. There aren\'t enough food, service, value or atmosphere ratings for Hostinec U Seminaru yet. Be one of the first to write a review!""}, {\'title\': \'Hostinec U Semináru restaurant, Brno - Restaurant menu and reviews\', \'href\': \'https://restaurantguru.com/Hostinec-U-Seminaru-Brno\', \'body\': \'Hostinec U Semináru, #237 among Brno restaurants: 1415 reviews by visitors and 205 detailed photos. ... Address. Smetanova 631, Brno, South Moravian Region, Czech Republic . Features. Outdoor seating Wi-Fi Booking No delivery Takeaway Not wheelchair accessible. Opening hours. Sunday Sun:\'}, {\'title\': \'Hostinec U Semináru\', \'href\': \'http://www.useminaru.cz/menu.php\', \'body\': \'Hostinec U semináru, restaurace, hostinec, brno. Polévka: 0,25 l Vývar z krůtích krků s masem a zeleninou : 1) 250 g Domácí dukátové buchtičky s vanilkovým šodó\'}, {\'title\': \'HOSTINEC U SEMINÁRU - Czech - Smetanova 30, Brno, Czech Republic ...\', \'href\': \'https://www.yelp.com/biz/hostinec-u-semináru-brno-2\', \'body\': \'2 reviews of Hostinec U Semináru ""Found as the result of an overheard comment. What a surprise! Great food, casual, friendly atmosphere. Prices very reasonable. ... 602 00 Brno. Czech Republic. Get directions. Mon. 11:00 AM - 11:00 PM. Tue. 11:00 AM - 11:00 PM. Wed. 11:00 AM - 11:00 PM. Thu. 11:00 AM - 12:00 AM (Next day)\'}]']",Hostinec U Semináru is a stylish restaurant located at Smetanova 30,Hostinec U Semináru is located at Smetanova 30.,0.9999999999,0.0,0.9640276637098522,1.0
2,What is the specialty of Kohout NA VÍNĚ restaurant?,"[""[{'title': 'Kohout NA VÍNĚ | art wine restaurant', 'href': 'https://www.kohout-na-vine.cz/', 'body': 'www.thecookbook.cz. Kohout NA VÍNĚ | art wine restaurant ... OBJEDNAT STŮL; Charitativní kuchařka ŽIVOT; next. prev. Kohout NA VÍNĚ | art wine restaurant. Kohout NA VÍNĚ je restaurace a vinný bar působící v reprezentativních prostorách Domu uměn ... 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz'}, {'title': 'Kohout NA VÍNĚ | art wine restaurant', 'href': 'https://www.kohoutnavine.com/', 'body': 'Kohout NA VÍNĚ | art wine restaurant ... The restaurant specialty is coq au vin. The exact preparation of the meal changes, reflecting the ideas and skills of the current cooking team. To make your dinner an all-evening affair, ... 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz'}, {'title': 'KOHOUT NA VÍNĚ, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d9975071-Reviews-Kohout_NA_VINE-Brno_South_Moravian_Region_Moravia.html', 'body': 'Kohout NA VÍNĚ. Claimed. Review. Share. 84 reviews. #25 of 753 Restaurants in Brno $$ - $$$, European, Central European, Vegetarian Friendly. Malinovskeho namesti 652/2, Brno 602 00 Czech Republic. +420 777 904 570 + Add website. Closed now See all hours.'}, {'title': 'Á la carte menu', 'href': 'https://www.kohoutnavine.com/menu/', 'body': 'Kohout na víně →; Á la carte menu ... Kohout NA VÍNĚ; art wine restaurant; Dům umění; Malinovského nám. 652/2; 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz'}, {'title': 'Kohout NA VÍNĚ restaurant, Brno - Restaurant menu and reviews', 'href': 'https://restaurantguru.com/Kohout-NA-VINE-Brno', 'body': 'Kohout NA VÍNĚ, 🥇 #5 among Brno restaurants: ️ 518 reviews by visitors and 21 detailed photos. Be ready to pay CZK 280 - CZK 1,100 for a meal. ... Русский . Ladin, lingua ladina . Where: Find: Home / Czech Republic / Brno, South Moravian Region / Kohout NA VÍNĚ; Kohout NA VÍNĚ. Add to wishlist. Add to compare. Share #5 of 3648 ...'}]""]","Kohout NA VÍNĚ is a restaurant that specializes in coq au vin, which aptly translates to the name of the restaurant in Czech. The chefs at this establishment continually adapt the recipe to showcase their current ideas and culinary skills. The restaurant boasts a selection of over 200 wines from around the world, emphasizing those from Moravia and Bohemia.","The specialty of Kohout NA VÍNĚ restaurant is coq au vin, which is showcased with a dynamic recipe that reflects the chefs' current ideas and culinary skills. The restaurant also offers a diverse selection of over 200 global wines, with an emphasis on Moravian and Bohemian varieties. Additionally, it provides two tasting menus paired thoughtfully with wines for private celebrations and business events.",0.9999999999,1.0,1.000000000000001,0.6666666666666666
3,Where to eat japanese sushi and sake in Brno?,"[""[{'title': 'MANYA Sushi & Sake Izakaya', 'href': 'https://www.manyabrno.cz/en/home', 'body': 'Japanese food full of umami, sake from Japan, delicious sushi, friendly atmosphere and retro-maximal interior. ... 🍶 sake from Japan, delicious 🍣 sushi, friendly atmosphere, 🍾party and retro-maximanyal interior.🦑 ... +420 774 238 918 izakaya@manyabrno.cz Průchodní 2, 602 00 Brno-střed.'}, {'title': 'MANYA Sushi & Sake Izakaya', 'href': 'https://www.manyabrno.cz/', 'body': '🥢Jsme MANYA -🏮Izakaya jak Brno. Japonské jídlo🍱 plné umami a foodsharing, spousta misek a mističek - tradiční keramika, 🍶sake z Japanu, delikátní 🍣sushi, přátelská atmosféra, 🍾večírek a retro-maximanyální interiér.🦑 ... +420 774 238 918 izakaya@manyabrno.cz Průchodní 2, 602 00 Brno-střed. O nás Menu ...'}, {'title': 'MANYA SUSHI & SAKE IZAKAYA, Brno - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d23630523-Reviews-Manya_Sushi_Sake_Izakaya-Brno_South_Moravian_Region_Moravia.html', 'body': 'Manya Sushi & Sake Izakaya. Unclaimed. Review. Share. 5 reviews. #211 of 753 Restaurants in Brno Japanese. Průchodní 2, Brno 60200 Czech Republic. +420 774 238 918 + Add website. Closed now See all hours.'}, {'title': 'MANYA Sushi & Sake Izakaya restaurant, Brno - Restaurant menu and reviews', 'href': 'https://restaurantguru.com/MANYA-Sushi-and-Sake-Izakaya-Brno', 'body': 'MANYA Sushi & Sake Izakaya. If you feel hungry after gazing at Old Town Hall, visit this restaurant to have a meal. The menu of Japanese cuisine provides flavorsome meals at MANYA Sushi & Sake Izakaya. Serving perfectly cooked temaki, gyoza and okonomiyaki is the feature of this place. The cheerful staff welcomes guests all year round.'}, {'title': 'THE 10 BEST Japanese Restaurants in Brno (2024 list) - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurants-g274714-c27-Brno_South_Moravian_Region_Moravia.html', 'body': '3. Moon Cocktail & Sushi Bar. 15 reviews Open Now. Japanese, Sushi $$ - $$$. Best Asian restaurant in Brno. I like eating Sushi. 4. KONOHA sushi bar & delivery. 19 reviews Closed Now.'}]""]","MANYA Sushi & Sake Izakaya is not just a typical sushi bar but a Japanese-inspired Izakaya that offers a unique dining experience in Brno, capturing the nocturnal ambiance of Tokyo.","You can enjoy Japanese sushi and sake at MANYA Sushi & Sake Izakaya in Brno. They offer Japanese food full of umami, sake from Japan, delicious sushi, and a friendly atmosphere with a retro-maximal interior. For more information, you can visit their website: https://www.manyabrno.cz/en/home",0.9999999999,1.0,0.9153525471983696,1.0
4,What type of food does Mikrofarma specialize in?,"['[{\'title\': \'Bistro Brno - Mikrofarma\', \'href\': \'https://www.mikrofarma.cz/en/bistro-brno/\', \'body\': \'Moravské náměstí 4, Brno. (next to the Scala cinema) zobrazit na mapě. +420 777 100 595. moravak@mikrofarma.cz. Menu na čtvrtek 12. 8. 2021 5 p.m. Switch to english.\'}, {\'title\': \'Mikrofarma | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/taste-brno/mikrofarma/\', \'body\': \'Mikrofarma ""You can tell these guys know meat and pick only the best. A true paradise for meat-eaters!"" Perfectly crafted street food with excellent, slowly dry-aged meat by Moravian farmers. And the only bistro where you can get a cut-up steak in a cone to go. ... Radnická 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: ...\'}, {\'title\': \'Bistro Brno - Mikrofarma\', \'href\': \'https://www.mikrofarma.cz/bistro-brno/\', \'body\': \'Bistro Mikrofarma Jakubák. Běhounská 18, Brno (na Jakubáku) zobrazit na mapě. +420 777 100 595 jakubak@mikrofarma.cz.\'}, {\'title\': \'Bistro Brno - Mikrofarma\', \'href\': \'https://www.mikrofarma.cz/en/bistro-brno-masny-trh/\', \'body\': \'From the grill. 1/4 or 1/2 Grilled FARM CHICKEN. 133/243 CZK. Grilled STEAK from our meat counter. Price depends on the weight plus 98 CZK for preparation. +98 CZK. Grilled local brie cheese, cranberries, mixed green salad, bread chips. 148 CZK. Our homemade grilled SAUSAGES from our meat counter.\'}, {\'title\': \'MIKROFARMA, Brno - Updated 2022 Restaurant Reviews ... - Tripadvisor\', \'href\': \'https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d8869417-Reviews-Mikrofarma-Brno_South_Moravian_Region_Moravia.html\', \'body\': \'Mikrofarma, Brno: See 21 unbiased reviews of Mikrofarma, rated 4.5 of 5, and one of 1,207 Brno restaurants on Tripadvisor.\'}]']","High-quality, dry-aged meats sourced locally.","Mikrofarma specializes in perfectly crafted street food with excellent, slowly dry-aged meat by Moravian farmers. They are known for offering a true paradise for meat-eaters and even serve cut-up steak in a cone to go. The bistro offers grilled farm chicken, steak, grilled local brie cheese, sausages, and more from their meat counter.",0.9999999999,1.0,0.9356269529201949,1.0
5,Where to eat Ramen in Brno?,"['[\'Ramen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it’s a type of fast food. They also have a second location at Křenová 62a.\\nVáclavská 16\\nRamen Brno\\nRamen Brno offers a quick Japanese meal combining popular Czech flavors. Their home-made noodles are covered in strong broths, flavored oils, and topped with marinated eggs and slow-cooked meat. The restaurant prepares the ramen right before your eyes in an open kitchen, claiming it to be a type of fast food. There is also a second location at Křenová 62a.; url: ramen-brno.cz\', \'“No need to head for Japan to get a balanced ramen made of premium ingredients. This is your place now!""\\nRamen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it’s a type of fast food. They also have a second location at Křenová 62a.\\nVáclavská 16, Brno, Czech Republic\\nRamen Brno: Authentic Japanese Cuisine\\nRamen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. The restaurant also has a secondary location at Křenová 62a.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf\']']","Ramen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. They are located at Václavská 16, Brno, Czech Republic. The restaurant also has a secondary location at Křenová 62a.","You can eat Ramen at Ramen Brno, which offers a quick Japanese meal combining popular Czech flavors. Their home-made noodles are covered in strong broths, flavored oils, and topped with marinated eggs and slow-cooked meat. The restaurant prepares the ramen right before your eyes in an open kitchen, claiming it to be a type of fast food. There is also a second location at Křenová 62a.",0.9999999999,1.0,0.9843778794538421,1.0
6,What type of cuisine does Singha Thai Restaurant serve?,"['[\'This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs. Forget all about glutamate! This place also caters to vegetarians, vegans, and the gluten-sensitive.\\nOrlí 6\\nSingha Thai Restaurant\\nSingha Thai Restaurant serves fresh, high-quality meals with a focus on artful presentation. It is located in the center of Brno and caters to vegetarians, vegans, and the gluten-sensitive.; url: singhathairestaurant.cz\', \'“Serving fresh meals with a smile while absolutely spoiling you."" This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs. Forget all about glutamate! This place also caters to vegetarians, vegans, and the gluten-sensitive.\\nOrlí 6, Brno, Czech Republic\\nSingha Thai Restaurant\\nSingha Thai Restaurant offers a variety of freshly prepared meals with an emphasis on high-quality ingredients, free from glutamate. Located in central Brno, the restaurant provides options for vegetarians, vegans, and those sensitive to gluten. It is known for its skilled chefs and artful meal presentations.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf\']']","This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs.","Singha Thai Restaurant serves Thai cuisine with a focus on fresh, high-quality ingredients. It caters to vegetarians, vegans, and the gluten-sensitive.",0.9999999999,1.0,1.0000000000000002,1.0
7,What does Soul Bistro in Brno offer?,"[""[{'title': 'Soul Bistro - Brno | Czech cuisine near me | Book now', 'href': 'https://soulbistro.eatbu.com/', 'body': 'Soul Bistro. Reservation. Jídlo s sebou / rozvoz | Brno. ... Jezuitská 7, 60200 Brno, Czech Republic. Make your reservation +420776110006 Our opening times. Monday: 10:30 AM - 10:00 PM. Tuesday: ... We use cookies to make our services as attractive as possible and offer specific features. These are small text files that are stored on your ...'}, {'title': 'SOUL BISTRO, Brno - Restaurant Reviews, Photos & Phone Number - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html', 'body': 'Soul Bistro. Claimed. Review. Share. 216 reviews #14 of 753 Restaurants in Brno $$ - $$$ International European Asian. Jezuitska 10/7, Brno 602 00 Czech Republic +420 776 110 006 Website. Open now : 08:00 AM - 10:00 PM.'}, {'title': 'SOUL BISTRO, Brno - Updated 2024 Restaurant Reviews ... - Tripadvisor', 'href': 'https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html', 'body': 'Soul Bistro. Claimed. Review. Share. 216 reviews. #14 of 753 Restaurants in Brno ££ - £££, International, European, Asian. Jezuitska 10/7, Brno 602 00 Czech Republic. +420 776 110 006 + Add website.'}, {'title': 'Soul Bistro | Brno - Facebook', 'href': 'https://www.facebook.com/people/Soul-Bistro/100076868095554/', 'body': 'Soul Bistro, Brno, Czech Republic. 10,343 likes · 29 talking about this · 3,045 were here. Bistro s denně aktualizovanou nabídkou tradičních, lehčích i vegetariánských jídel se zaměřením na čerstvé... Soul Bistro, Brno, Czech Republic. 10,344 likes · 17 talking about this · 3,046 were here. ...'}, {'title': 'SOUL BISTRO - Updated May 2024 - 24 Photos & 10 Reviews - Yelp', 'href': 'https://www.yelp.com/biz/soul-bistro-brno', 'body': 'SOUL BISTRO, Jezuitská 7/10, 602 00 Brno, Czech Republic, 24 Photos, Mon - 8:00 am - 10:00 pm, Tue - 8:00 am - 10:00 pm, Wed - 8:00 am - 10:00 pm, Thu - 8:00 am - 10:00 pm, Fri - 8:00 am - 11:00 pm, Sat - 10:00 am - 11:00 pm, Sun - Closed ... Offers Takeout. No Delivery. Accepts Credit Cards. 9 More Attributes. Recommended Reviews.'}]""]","Brno offers a diverse menu suitable for breakfasts, work lunches, and celebratory dinners. Its menu features a variety of dishes including fluffy cakes, light salads, fish & chips, and shredded-beef sandwiches, all served in a light and clean environment.","Soul Bistro in Brno offers Czech cuisine with a daily updated menu of traditional, lighter, and vegetarian dishes. They focus on fresh ingredients and offer reservation services as well as takeaway and delivery options. The bistro is open throughout the week with varying opening times.",0.9999999999,0.8,0.9704117904508159,0.0
8,Where to get coffee and kombucha?,"[""[{'title': 'Kombucha Brno', 'href': 'https://www.kombuchabrno.cz/', 'body': 'Vážení zákazníci, vítejte na našich stránkách Kombucha Brno, kde si Vám dovolujeme představit náš originální produkt KOMBUČA®, 100% čistý kombuchový nápoj, který vyrábíme ve čtyřech variantách a rozmanitou příchutí ovoce.Naši nabídku kombuchy si můžete prohlédnout zde.. Navštivte nás v naší restauraci PIVO & POD-NOS na ulici Dobrovského 82 v Králově ...'}, {'title': 'Kombucha Brno', 'href': 'https://www.kombuchabrno.cz/nase-nabidka', 'body': 'Kombucha Brno. Naše nabídka kombuchy. Kombucha ... Produkt KOMBUČA® - kombucha, můžete u nás zakoupit i mimo otevírací dobu v naší restauraci PIVO & POD-NOS. Prosím volejte na telefon: +420 608 226 664.'}, {'title': 'Loklok | Kombucha 2.0 - Loklok kombucha', 'href': 'https://loklok.cz/', 'body': 'Ráno může kombucha nabídnout energetický start dne a podporu trávení, zatímco večer slouží k relaxaci a hydrataci. V Lokloku doporučujeme začlenit kombuchu do vašeho denního režimu podle toho, co vám nejvíce vyhovuje, a užívat si její chutě a zdravotní výhody kdykoliv během dne. Číst více. Loklok: probiotické nealko ...'}, {'title': 'Kombucha - základní', 'href': 'https://www.kombuchabrno.cz/kombucha-zakladni', 'body': 'Produkt KOMBUČA® - kombucha, můžete u nás zakoupit i mimo otevírací dobu v naší restauraci PIVO & POD-NOS. Prosím volejte na telefon: +420 608 226 664 Pokud jste již naši KOMBUČU® ochutnali a víte, kterou si vybrat, nabízíme Vám při objednávce od 10 ks kombuchy (500 ml) a telefonické domluvě, možnost rozvozu po Brně zdarma.'}, {'title': 'Joybucha', 'href': 'https://www.joybucha.cz/', 'body': 'Joybucha. JOYBUCHA je originální fermentovaný bio nápoj z čaje a ovocných šťáv, který se pro své přednosti pije již po tisíciletí. Naše řemeslná kombucha je plná života a obsahuje pestrou paletu probiotických a bioaktivních látek vznikajících během procesu fermentace čaje, ovocných šťáv a kombuchové kultury.'}]""]","Večerka Brno is a café bistro located on Pekařská Street, offering a unique fusion of Czech and Vietnamese cuisines. The place also specializes in premium coffee and their own kombucha called KMBCH coffee.","Kafe Friedrich offers a perfect cup of coffee served by the nicest staff. This minimalist, living-room-sized café primarily uses local ingredients for its food and sweets, with the notable exception of their premium coffee which is sourced globally.",0.0,0.0,0.8093171633155548,0.0
9,What is unique about Cukrárna BezCukru?,"['[""Cukrárna BezCukru offers a unique dining experience as the first low-carb confectionary in Brno. They specialize in desserts made without sugar or flour, making their offerings suitable for celiac dieters. The cafe features Coffee Square coffee and a variety of delicacies, with the small cream puff being especially popular. Top-quality ingredients underscore the appeal of their menu.\\nNovobranská 4, Brno, Czech Republic\\nCukrárna BezCukru\\nCukrárna BezCukru is Brno\'s first low-carb confectionery, making it a haven for those on sugar-free and gluten-free diets. Visitors can enjoy a range of delicacies, including popular cream puffs, complemented by high-quality Coffee Square coffee. Located at Novobranská 4, it merges health with flavor in every dessert.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf"", \'Veckra Brno \\x80A perfect fusion of Czech and Vietnamese cuisines at a stylish place. Its name means convenience store in Czech, but you wonâ\\x80\\x99t find all kinds of stuff there. In this café bistro on Pekařská Street, the crew bravely combines Czech and Vietnamese cuisines and prepares premium coffee as well as their own kombucha KMBCH coffee.\\nPekařská 9\\nVečerka Brno\\nA fusion of Czech and Vietnamese cuisines at a stylish cafe bistro on Pekařská Street, offering premium coffee and their own kombucha KMBCH coffee.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf\', \'Prague has its Náplavka, Ostrava has Stodolní, and Brno has Jakubák. The Brno square filled with businesses with a unique energy and atmosphere behind the Church of St James offers a programme for the entire summer.\\n\\nJakubák\\nA square in Brno filled with businesses offering a unique energy and atmosphere behind the Church of St James, providing a programme for the entire summer.; url: https://www.jakubak.cz\']']","It is Brno's first low-carb confectionery, making it a haven for those on sugar-free and gluten-free diets.","Cukrárna BezCukru offers a unique dining experience as the first low-carb confectionary in Brno. They specialize in desserts made without sugar or flour, making their offerings suitable for celiac dieters. The cafe features Coffee Square coffee and a variety of delicacies, with the small cream puff being especially popular. Top-quality ingredients underscore the appeal of their menu.",0.9999999999,1.0,0.9535130070762192,1.0
