Unnamed: 0,question,contexts,ground_truth,answer,context_precision,faithfulness,answer_relevancy,context_recall
0,What is Element Restaurant known for?,"['""Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tom\\u00e1\\u0161 Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Li\\u00c5\\u00a1ka.\\nB\\u011bhounsk\\u00e1 7\\nElement\\nAn excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends.; url: elementbrno.com""'
 '""\\u201cAn excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends.\\"" Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Toma\\u0161 Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Li\\u0161ka.\\nB\\u011bhounsk\\u00e1 7, Brno, Czech Republic\\nElement Restaurant: Culinary Experience in Brno\\nElement is a restaurant in Brno offering a globally inspired menu prepared from local ingredients by head chef Toma\\u0161 Reger. The restaurant is known for its top-quality meals and original cocktails, served by champion bartender Jan Li\\u0161ka. It\'s a perfect spot for dinner with partners or friends.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf""']","Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.","Element Restaurant is known for combining first-rate food and cocktails with a globally inspired menu prepared from local ingredients by head chef Tomáš Reger, complemented by drinks from champion bartender Jan Liška.",0.99999999995,1.0,1.0000000000000016,1.0
1,What is the address of Hostinec U Semináru?,"['{""title"": ""HOSTINEC U SEMINARU, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurant_Review-g274714-d4768092-Reviews-Hostinec_U_Seminaru-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Smetanova 631/30, Brno 602 00 Czech Republic. +420 549 213 648 + Add website. Open now 11:00 AM - 12:00 AM. Improve this listing. See all (61) 4.5. 143 reviews. There aren\'t enough food, service, value or atmosphere ratings for Hostinec U Seminaru yet. Be one of the first to write a review!""}'
 '{""title"": ""Hostinec U Semin\\u00e1ru"", ""href"": ""http://www.useminaru.cz/menu.php"", ""body"": ""Hostinec U semin\\u00e1ru, restaurace, hostinec, brno. Pol\\u00e9vka: 0,25 l \\u0160umavsk\\u00e1 brambora\\u010dka s houbami: 1) 150 g Filet z mo\\u0159sk\\u00e9 ryby Mahi Mahi (b\\u00edl\\u00e9 pevn\\u00e9 maso bez kost\\u00ed a ryb\\u00ed v\\u016fn\\u011b) pe\\u010den\\u00fd na limet\\u00e1ch a bylinkov\\u00e9m m\\u00e1sle, bramborovo - karotkov\\u00e9 pyr\\u00e9, rukolov\\u00fd sal\\u00e1t""}'
 '{""title"": ""HOSTINEC U SEMINARU, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor"", ""href"": ""https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d4768092-Reviews-Hostinec_U_Seminaru-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Hostinec U Seminaru. Review. Share. 143 reviews #36 of 753 Restaurants in Brno \\u00a3\\u00a3 - \\u00a3\\u00a3\\u00a3 European Czech Central European. Smetanova 631/30, Brno 602 00 Czech Republic +420 549 213 648 Website Menu. Open now : 11:00 AM - 11:00 PM.""}'
 '{""title"": ""Hostinec U Semin\\u00e1ru (Brno, Veve\\u0159\\u00ed) + Denn\\u00ed menu \\u2022 Firmy.cz"", ""href"": ""https://www.firmy.cz/detail/2195494-hostinec-u-seminaru-brno-veveri.html"", ""body"": ""Gastronomii zam\\u011b\\u0159ujeme hlavn\\u011b na tradi\\u010dn\\u00ed \\u010deskou kuchyni. Zajist\\u00edme prostory pro firemn\\u00ed \\u0161kolen\\u00ed a setk\\u00e1n\\u00ed nejr\\u016fzn\\u011bj\\u0161\\u00edho druhu. Aktu\\u00e1ln\\u00ed ov\\u011b\\u0159en\\u00e9 informace: adresa, telefon, e-mail, denn\\u00ed menu, provozn\\u00ed hodiny a hodnocen\\u00ed Hostinec U Semin\\u00e1ru, Brno, Veve\\u0159\\u00ed. Telefon: 549 213 \\u2026.""}'
 '{""title"": ""Hostinec U Semin\\u00e1ru | Go To Brno"", ""href"": ""https://www.gotobrno.cz/en/taste-brno/hostinec-u-seminaru/"", ""body"": ""Address and contact Smetanova 30 602 00 Brno. Find out more Tell your friends about Hostinec U Semin\\u00e1ru! Share on Facebook Taste some more Atelier Bar & Bistro ... \\u00a9TIC BRNO, a public-benefit corporation Radnick\\u00e1 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit ...""}']",Hostinec U Semináru is a stylish restaurant located at Smetanova 30,"Smetanova 631/30, Brno 602 00 Czech Republic",0.8041666666465626,0.0,0.9614117951975248,1.0
2,What is the specialty of Kohout NA VÍNĚ restaurant?,"['{""title"": ""Kohout NA V\\u00cdN\\u011a | art wine restaurant"", ""href"": ""https://www.kohoutnavine.com/"", ""body"": ""Gourmet Brno 2022 competition. The restaurant specialty is coq au vin. The exact preparation of the meal changes, reflecting the ideas and skills of the current cooking team. To make your dinner an all-evening affair, you can order a degustation menu, which gives an overview of the whole \\u00e1 la carte menu. Wines can be paired with meals.""}'
 '{""title"": ""KOHOUT NA V\\u00cdN\\u011a, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurant_Review-g274714-d9975071-Reviews-Kohout_NA_VINE-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Kohout NA V\\u00cdN\\u011a. Claimed. Review. Share. 84 reviews. #25 of 753 Restaurants in Brno $$ - $$$, European, Central European, Vegetarian Friendly. Malinovskeho namesti 652/2, Brno 602 00 Czech Republic. +420 777 904 570 + Add website. Closed now See all hours.""}'
 '{""title"": ""Kohout NA V\\u00cdN\\u011a | art wine restaurant"", ""href"": ""https://www.kohout-na-vine.cz/"", ""body"": ""www.thecookbook.cz. Kohout NA V\\u00cdN\\u011a | art wine restaurant. MENU \\u00c1 LA CARTE; pln\\u00e9 a zkr\\u00e1cen\\u00e9 ... 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz""}'
 '{""title"": ""Coq au Vin - Once Upon a Chef"", ""href"": ""https://www.onceuponachef.com/recipes/coq-au-vin.html"", ""body"": ""Instructions. Heat 1 tablespoon of the oil in a large (5-qt) Dutch oven or heavy-bottomed pot over medium heat. Add the pancetta and cook until the fat has rendered and the pancetta is crispy, 5 to 8 minutes. Using a slotted spoon, transfer the pancetta to a paper-towel-lined plate, leaving the fat in the pan.""}'
 '{""title"": ""Coq au Vin | RecipeTin Eats"", ""href"": ""https://www.recipetineats.com/coq-au-vin/"", ""body"": ""Add chicken and everything else - Add the chicken, cooked mushrooms, bacon, and reserved bay leaf and thyme (from marinating the chicken) to the pot. Give it a good stir, then allow it to come to a simmer. Oven 45 minutes - Cover with a lid then transfer it to a 180\\u00b0C / 350\\u00b0F (160\\u00b0C fan) oven for 45 minutes.""}']","Kohout NA VÍNĚ is a restaurant that specializes in coq au vin, which aptly translates to the name of the restaurant in Czech. The chefs at this establishment continually adapt the recipe to showcase their current ideas and culinary skills. The restaurant boasts a selection of over 200 wines from around the world, emphasizing those from Moravia and Bohemia.",The restaurant specialty is coq au vin.,0.999999999975,1.0,0.8937779497712297,0.5
3,Where to eat japanese sushi and sake in Brno?,"['{""title"": ""THE 10 BEST Japanese Restaurants in Brno (2024 list) - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurants-g274714-c27-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""18. Ha Nem Restaurant. 19. Asia Grand Grocery Store. Best Japanese Restaurants in Brno, South Moravian Region: Find Tripadvisor traveller reviews of Brno Japanese restaurants and search by price, location, and more.""}'
 '{""title"": ""MANYA Sushi & Sake Izakaya"", ""href"": ""https://www.manyabrno.cz/en/home"", ""body"": ""\\ud83e\\udd62 We are MANYA - \\ud83c\\udfee no. 1 Izakaya in Brno. Japanese food \\ud83c\\udf71 full of umami and foodsharing, lots of bowls and bowls - traditional pottery, \\ud83c\\udf76 sake from Japan, delicious \\ud83c\\udf63 sushi, friendly atmosphere, \\ud83c\\udf7eparty and retro-maximanyal interior.\\ud83e\\udd91 ... +420 774 238 918 izakaya@manyabrno.cz Pr\\u016fchodn\\u00ed 2, 602 00 Brno-st\\u0159ed. About Menu Gallery""}'
 '{""title"": ""MANYA SUSHI & SAKE IZAKAYA, Brno - Restaurant Reviews ... - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurant_Review-g274714-d23630523-Reviews-Manya_Sushi_Sake_Izakaya-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Manya Sushi & Sake Izakaya. Unclaimed. Review. Share. 5 reviews. #211 of 753 Restaurants in Brno Japanese. Pr\\u016fchodn\\u00ed 2, Brno 60200 Czech Republic. +420 774 238 918 + Add website. Closed now See all hours.""}'
 '{""title"": ""THE 10 BEST Japanese Restaurants for Lunch in Brno - Tripadvisor"", ""href"": ""https://en.tripadvisor.com.hk/Restaurants-g274714-c27-zfp30-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Best Japanese Restaurants for Lunch in Brno, Czech Republic. Find 26,059 traveler reviews of THE BEST Brno Japanese Restaurants for Lunch and search by price, location and more.""}'
 '{""title"": ""HATSU Restaurant - Taste the best sushi in Brno! | Sushi Brno"", ""href"": ""https://www.hatsurestaurant.cz/en/sushi-en/"", ""body"": ""Sushi is a traditional Japanese dish that offers countless possible variations. Although there are many ways to prepare it, traditional Japanese sushi honors tradition. In the same way, here at HATS, we rely on the precise preparation of the highest quality sushi in Brno and we now want to invite you to a small tour of our sushi menu.""}']","MANYA Sushi & Sake Izakaya is not just a typical sushi bar but a Japanese-inspired Izakaya that offers a unique dining experience in Brno, capturing the nocturnal ambiance of Tokyo.",You can try MANYA Sushi & Sake Izakaya or Ha Nem Restaurant for Japanese sushi and sake in Brno.,0.999999999975,0.5,0.9813746239984532,1.0
4,What type of food does Mikrofarma specialize in?,"['{""title"": ""THE BEST Street Food in Brno (2024 list) - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurants-g274714-c10686-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""4. Poe-Poe Brno. 56 reviews Closed Now. Pizza, Street Food $ Menu. If you are in Brno and you want to eat a super pancake, this is the right... Great experience. 5. Chilli Tree. 13 reviews Closed Now.""}'
 '{""title"": ""Brno Food Guide: 10 Must-Eat Restaurants & Street Food Stalls in Brno"", ""href"": ""https://www.thingstodopost.org/brno-food-guide-10-must-eat-restaurants-street-food-stalls-in-brno-109145"", ""body"": ""5. KOISHI fish & sushi restaurant. Udolni 326/11, Brno 602 00, Czech Republic Takeout, Full Bar, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Free Wifi, Highchairs Available Seafood, International, Sushi, Asian, Gluten Free Options HK$243 - HK$487 +420 777 564 744. Excellent.""}'
 '{""title"": ""Brno Food Guide - What And Where To Eat In Brno Czech Republic"", ""href"": ""https://withhusbandintow.com/eat-in-brno/"", ""body"": ""Lok\\u00e1l is owned by the Ambiente group, a local Czech restaurant company. There are Lok\\u00e1l locations all over Prague, and even one in Brno. Try the Prague ham with creamy whipped horseradish, of course along with a cold Czech beer. Skanzeen: On Peka\\u0159sk\\u00e1 Street, just outside of the Brno city centre, this Brno restaurant is traditional to the ...""}'
 '{""title"": ""8 Must-Try Food Trucks in Brno! - Foreigners.cz Blog"", ""href"": ""https://blog.foreigners.cz/food-trucks-in-brno/"", ""body"": ""These are homemade fries twice-fried in beef tallow with gravy and cheese. And it\'s very tasty! The truck is to be found at different places in Brno during the week: Monday - Impact Hub Brno - Brno-st\\u0159ed-Trnit\\u00e1. Tuesday - BioVendor, Kar\\u00e1sek - \\u0158e\\u010dkovice. Wednesday - Impact Hub Brno - Brno-st\\u0159ed-Trnit\\u00e1.""}'
 '{""title"": ""The 50 best street markets in Brno - Wanderlog"", ""href"": ""https://wanderlog.com/list/geoCategory/173156/best-street-markets-in-brno"", ""body"": ""The Old Town Hall is a historical landmark in Brno, Czech Republic. It is a popular tourist destination, with parts dating back to the 13th century. ... also super bowls and street food options plus desserts - free refill of drinks. I had the balanced power plate which was delicious. Fair price for good quality. Recommend. Alasdair Reid ...""}']","High-quality, dry-aged meats sourced locally.",Mikrofarma specializes in healthy food.,0.9,0.75,0.96082203602049,1.0
5,Where to eat Ramen in Brno?,"['""Ramen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it\\u2019s a type of fast food. They also have a second location at K\\u0159enov\\u00e1 62a.\\nV\\u00e1clavsk\\u00e1 16\\nRamen Brno\\nRamen Brno offers a quick Japanese meal combining popular Czech flavors. Their home-made noodles are covered in strong broths, flavored oils, and topped with marinated eggs and slow-cooked meat. The restaurant prepares the ramen right before your eyes in an open kitchen, claiming it to be a type of fast food. There is also a second location at K\\u0159enov\\u00e1 62a.; url: ramen-brno.cz""'
 '""\\u201cNo need to head for Japan to get a balanced ramen made of premium ingredients. This is your place now!\\""\\nRamen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it\\u2019s a type of fast food. They also have a second location at K\\u0159enov\\u00e1 62a.\\nV\\u00e1clavsk\\u00e1 16, Brno, Czech Republic\\nRamen Brno: Authentic Japanese Cuisine\\nRamen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. The restaurant also has a secondary location at K\\u0159enov\\u00e1 62a.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf""'
 '""Chrlick\\u00e9 n\\u00e1m. 4, 643 00 Brno, +420 545 427 211, info@chrlice.brno.cz\\nChrlick\\u00e9 n\\u00e1m. 4, 643 00 Brno\\nBrno-Chrlice Municipal District Overview\\nBrno-Chrlice is one of the municipal districts of Brno, Czech Republic, located at Chrlick\\u00e9 n\\u00e1m. 4, 643 00 Brno.; url: https://www.brno.cz/mestske-casti-prehled""']","Ramen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. They are located at Václavská 16, Brno, Czech Republic. The restaurant also has a secondary location at Křenová 62a.","Ramen Brno offers two locations where you can eat Ramen in Brno, one at Václavská 16 and another at Křenová 62a.",0.99999999995,1.0,0.924480557368347,1.0
6,What type of cuisine does Singha Thai Restaurant serve?,"['""This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs. Forget all about glutamate! This place also caters to vegetarians, vegans, and the gluten-sensitive.\\nOrl\\u00ed 6\\nSingha Thai Restaurant\\nSingha Thai Restaurant serves fresh, high-quality meals with a focus on artful presentation. It is located in the center of Brno and caters to vegetarians, vegans, and the gluten-sensitive.; url: singhathairestaurant.cz""'
 '""\\u201cServing fresh meals with a smile while absolutely spoiling you.\\"" This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs. Forget all about glutamate! This place also caters to vegetarians, vegans, and the gluten-sensitive.\\nOrl\\u00ed 6, Brno, Czech Republic\\nSingha Thai Restaurant\\nSingha Thai Restaurant offers a variety of freshly prepared meals with an emphasis on high-quality ingredients, free from glutamate. Located in central Brno, the restaurant provides options for vegetarians, vegans, and those sensitive to gluten. It is known for its skilled chefs and artful meal presentations.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf""'
 '""\\u201cNo need to head for Japan to get a balanced ramen made of premium ingredients. This is your place now!\\""\\nRamen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it\\u2019s a type of fast food. They also have a second location at K\\u0159enov\\u00e1 62a.\\nV\\u00e1clavsk\\u00e1 16, Brno, Czech Republic\\nRamen Brno: Authentic Japanese Cuisine\\nRamen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. The restaurant also has a secondary location at K\\u0159enov\\u00e1 62a.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf""']","This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs.",Singha Thai Restaurant serves Thai cuisine.,0.99999999995,1.0,1.0000000000000002,1.0
7,What does Soul Bistro in Brno offer?,"['{""title"": ""Soul Bistro - Brno | Czech cuisine near me | Book now"", ""href"": ""https://soulbistro.eatbu.com/"", ""body"": ""Soul Bistro. Reservation. J\\u00eddlo s sebou / rozvoz | Brno. ... Jezuitsk\\u00e1 7, 60200 Brno, Czech Republic. Make your reservation +420776110006 Our opening times. Monday: 10:30 AM - 10:00 PM. Tuesday: ... We use cookies to make our services as attractive as possible and offer specific features. These are small text files that are stored on your ...""}'
 '{""title"": ""SOUL BISTRO, Brno - Restaurant Reviews, Photos & Phone Number - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Soul Bistro. Claimed. Review. Share. 216 reviews #14 of 753 Restaurants in Brno $$ - $$$ International European Asian. Jezuitska 10/7, Brno 602 00 Czech Republic +420 776 110 006 Website. Open now : 08:00 AM - 10:00 PM.""}'
 '{""title"": ""Soul Bistro | Brno - Facebook"", ""href"": ""https://www.facebook.com/people/Soul-Bistro/100076868095554/"", ""body"": ""Soul Bistro, Brno, Czech Republic. 10,343 likes \\u00b7 29 talking about this \\u00b7 3,045 were here. Bistro s denn\\u011b aktualizovanou nab\\u00eddkou tradi\\u010dn\\u00edch, leh\\u010d\\u00edch i vegetari\\u00e1nsk\\u00fdch j\\u00eddel se zam\\u011b\\u0159en\\u00edm na \\u010derstv\\u00e9... Soul Bistro, Brno, Czech Republic. 10,344 likes \\u00b7 17 talking about this \\u00b7 3,046 were here. ...""}'
 '{""title"": ""SOUL BISTRO, Brno - Updated 2024 Restaurant Reviews ... - Tripadvisor"", ""href"": ""https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""Soul Bistro. Claimed. Review. Share. 216 reviews. #14 of 753 Restaurants in Brno \\u00a3\\u00a3 - \\u00a3\\u00a3\\u00a3, International, European, Asian. Jezuitska 10/7, Brno 602 00 Czech Republic. +420 776 110 006 + Add website.""}'
 '{""title"": ""SOUL BISTRO - Updated May 2024 - 24 Photos & 10 Reviews - Yelp"", ""href"": ""https://www.yelp.com/biz/soul-bistro-brno"", ""body"": ""SOUL BISTRO, Jezuitsk\\u00e1 7/10, 602 00 Brno, Czech Republic, 24 Photos, Mon - 8:00 am - 10:00 pm, Tue - 8:00 am - 10:00 pm, Wed - 8:00 am - 10:00 pm, Thu - 8:00 am - 10:00 pm, Fri - 8:00 am - 11:00 pm, Sat - 10:00 am - 11:00 pm, Sun - Closed ... Offers Takeout. No Delivery. Accepts Credit Cards. 9 More Attributes. Recommended Reviews.""}']","Brno offers a diverse menu suitable for breakfasts, work lunches, and celebratory dinners. Its menu features a variety of dishes including fluffy cakes, light salads, fish & chips, and shredded-beef sandwiches, all served in a light and clean environment.","Soul Bistro in Brno offers Czech and international cuisine with daily updated menu, traditional and lighter meals including vegetarian options. They are open from Monday to Saturday with varying hours and closed on Sundays.",0.99999999998,0.6666666666666666,0.9704383470523592,1.0
8,Where to get coffee and kombucha?,"['{""title"": ""Kombucha Brno"", ""href"": ""https://www.kombuchabrno.cz/"", ""body"": ""V\\u00e1\\u017een\\u00ed z\\u00e1kazn\\u00edci, v\\u00edtejte na na\\u0161ich str\\u00e1nk\\u00e1ch Kombucha Brno, kde si V\\u00e1m dovolujeme p\\u0159edstavit n\\u00e1\\u0161 origin\\u00e1ln\\u00ed produkt KOMBU\\u010cA\\u00ae, 100% \\u010dist\\u00fd kombuchov\\u00fd n\\u00e1poj, kter\\u00fd vyr\\u00e1b\\u00edme ve \\u010dty\\u0159ech variant\\u00e1ch a rozmanitou p\\u0159\\u00edchut\\u00ed ovoce.Na\\u0161i nab\\u00eddku kombuchy si m\\u016f\\u017eete prohl\\u00e9dnout zde.. Nav\\u0161tivte n\\u00e1s v na\\u0161\\u00ed restauraci PIVO & POD-NOS na ulici Dobrovsk\\u00e9ho 82 v Kr\\u00e1lov\\u011b ...""}'
 '{""title"": ""The Sprudge Guide To Coffee In Brno, Czechia | Sprudge Coffee"", ""href"": ""https://sprudge.com/the-sprudge-guide-to-coffee-in-brno-czechia-219014.html"", ""body"": ""Punkt. For this cafe bar, which Brno\'s tourism site has called \\""a piece of Berlin in Brno\\"" (translation mine), it\'s all in the name: Punkt. offers great coffee\\u2014and cake\\u2014period.. An oft-praised darling of the Brno specialty coffee scene founded in 2016, Punkt. is located on a residential street to the west of Lu\\u017e\\u00e1nky Park, a large green space that I like to think of as the Central ...""}'
 '{""title"": ""The 7 Best Cafes in Brno, Czech Republic - World of Wanderlust"", ""href"": ""https://worldofwanderlust.com/the-7-best-cafes-in-brno-czech-republic/"", ""body"": ""Monogram. A small boutique coffee bar, it\'s the perfect spot to sit with a coffee and read. With very little food (mostly just smalls snacks) it\'s best for a quick coffee break. Conveniently located close to the city centre and the train station it\'s perfect for refuelling while exploring Brno. Address: 12, Kapuc\\u00ednsk\\u00e9 n\\u00e1m\\u011bst\\u00ed 310 ...""}'
 '{""title"": ""The 31 best coffee shops and best cafes in Brno - Wanderlog"", ""href"": ""https://wanderlog.com/list/geoCategory/17247/"", ""body"": ""Blogger \\u2014 15 best coffee shops in Brno; Foreigners.cz Blog \\u2014 8 Caf\\u00e9s You Definitely Have to Visit in Brno; V\\u00fdborn\\u00e1 k\\u00e1va - web, kter\\u00fd von\\u00ed k\\u00e1vou \\u2014 15 kav\\u00e1ren v Brn\\u011b, kter\\u00e9 nesm\\u00edte vynechat; Not Another Travel Blog \\u2014 Six Awesome Coffee Shops In Brno; reddit \\u2014 r/Brno - Best student cafe (ie places to stay and study/work) in Brno?""}'
 '{""title"": ""8 Caf\\u00e9s You Definitely Have to Visit in Brno | Foreigners.cz Blog"", ""href"": ""https://blog.foreigners.cz/8-cafes-you-definitely-have-to-visit-in-brno/"", ""body"": ""Here\'s the list of the top 8 caf\\u00e9s we recommend you visit while you\'re staying in Brno! Sweet and coffee heaven at Skog Urban Hub. SK\\u00d8G Urban Hub. The ultimate king of Brno caf\\u00e9s. Skog opened several years ago and gained popularity pretty quickly. Its Scandinavian design and excellent coffee draw tons of visitors each day.""}']","Večerka Brno is a café bistro located on Pekařská Street, offering a unique fusion of Czech and Vietnamese cuisines. The place also specializes in premium coffee and their own kombucha called KMBCH coffee.","You can get coffee and kombucha at various cafes in Brno. For example, Punkt cafe bar is known for its great coffee and cake, while Monogram is a small boutique coffee bar perfect for a quick coffee break. If you're looking for kombucha, you can visit Kombucha Brno's restaurant PIVO & POD-NOS.",0.6388888888675925,1.0,0.8297172414730914,1.0
9,What is unique about Cukrárna BezCukru?,"['{""title"": ""BezCukru - nov\\u00e1 low carb cukr\\u00e1rna v centru Brna | www.coolbrnoblog.cz"", ""href"": ""https://www.coolbrnoblog.cz/bezcukru-nova-low-carb-cukrarna-v-centru-brna/"", ""body"": ""BezCukru - nov\\u00e1 low carb cukr\\u00e1rna v centru Brna. O nov\\u00e9 cukr\\u00e1rn\\u011b BezCukru, kterou najdete v centru Brna, na Novobransk\\u00e9, jsem v\\u00e1m ji\\u017e n\\u011bkolikr\\u00e1t psala na soci\\u00e1ln\\u00edch s\\u00edt\\u00edch sv\\u00e9ho blogu - a v\\u017edy se u v\\u00e1s pr\\u00e1v\\u011b tyto posty setkaly s velk\\u00fdm ohlasem. A j\\u00e1 jsem moc r\\u00e1da, proto\\u017ee sama jsem pr\\u00e1v\\u011b z t\\u00e9ho cukr\\u00e1rny nad\\u0161en\\u00e1!""}'
 '{""title"": ""\\u017dijte zdrav\\u011b BezCukru"", ""href"": ""https://bezcukru.com/"", ""body"": ""Nejlep\\u0161\\u00ed cukrarna,kde jsem kdy byla! I kdybyste sn\\u011bdli p\\u011bt zakusku, budete m\\u00edt skv\\u011bl\\u00fd pocit, proto\\u017ee jste sn\\u011bdli sladke, ale bez cukru. ... BezCukru, s.r.o. s\\u00eddlo: Novobransk\\u00e1 4, 602 00 Brno Kontakty: info@bezcukru.com +420 601 234 034. Spojen\\u00ed: Banka: 235625072/0600 Datovka: m2tk45q. Firemn\\u00ed \\u00fadaje: I\\u010cO: 095 58 187 DI\\u010c: CZ09558187.""}'
 '{""title"": ""Cukr\\u00e1rna BezCukru | Go To Brno"", ""href"": ""https://www.gotobrno.cz/en/taste-brno/cukrarna-bezcukru/"", ""body"": ""Cukr\\u00e1rna BezCukru. \\""Delicious desserts for everyone.\\"". Everything here feels like a regular cafe. From the rich aroma of Coffee Square coffee to the showcased delicacies. Only this is the first low-carb confectionary in Brno, using zero sugar or flour, so even celiac dieters can enjoy it. The small cream puff with a big heart sells best ...""}'
 '{""title"": ""BezCukru: Ale p\\u0159ece sladk\\u00e9 a v\\u00fdborn\\u00e9 - M\\u0148ambezlepku.cz"", ""href"": ""https://www.mnambezlepku.cz/rozhovory/bezcukru/"", ""body"": ""BezCukru: Ale p\\u0159ece sladk\\u00e9 a v\\u00fdborn\\u00e9. 3. 6. 2023. Cht\\u011bli byste nav\\u0161t\\u00edvit cukr\\u00e1rnu bez lepku, bez cukru a t\\u0159eba i vegan? Tak b\\u011b\\u017ete do brn\\u011bnsk\\u00e9ho BezCukru! Tato cukr\\u00e1rna se nach\\u00e1z\\u00ed na Novobransk\\u00e9 4 v centru Brna, kousek od hlavn\\u00edho n\\u00e1dra\\u017e\\u00ed. Co jsem mohla vid\\u011bt, z\\u00e1kazn\\u00edci zde chod\\u00ed na jistotu a maj\\u00ed to tu moc r\\u00e1di.""}'
 '{""title"": ""CUKRARNA BEZCUKRU, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor"", ""href"": ""https://www.tripadvisor.com/Restaurant_Review-g274714-d23554257-Reviews-Cukrarna_Bezcukru-Brno_South_Moravian_Region_Moravia.html"", ""body"": ""cukr\\u00e1rna Bezcukru. Claimed. Review. Save. Share. 1 review #24 of 35 Desserts in Brno $ Dessert. Novobransk\\u00e1 4, Brno 602 00 Czech Republic +420 601 234 034 Website Menu. Closed now : See all hours. Improve this listing.""}']","It is Brno's first low-carb confectionery, making it a haven for those on sugar-free and gluten-free diets.","What makes Cukrárna BezCukru unique is that it is the first low-carb confectionary in Brno, using zero sugar or flour.",0.999999999975,1.0,0.9806651374752082,1.0
