question,ground_truth,contexts,answer,context_precision,answer_relevancy,faithfulness,context_recall
What is Element Restaurant known for?,"Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.","['“An excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends."" Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.\nBěhounská 7, Brno, Czech Republic\nElement Restaurant: Culinary Experience in Brno\nElement is a restaurant in Brno offering a globally inspired menu prepared from local ingredients by head chef Tomaš Reger. The restaurant is known for its top-quality meals and original cocktails, served by champion bartender Jan Liška. It\'s a perfect spot for dinner with partners or friends.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf', 'Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomáš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan LiÅ¡ka.\nBěhounská 7\nElement\nAn excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends.; url: elementbrno.com']","Element Restaurant is known for its excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends. The restaurant combines first-rate food and cocktails, with globally inspired menu prepared from local ingredients by head chef Tomaš Reger. His food is complemented by drinks from champion bartender Jan Liška.",0.9519999999523999,0.9372000000000015,1.0,1.0
What is the address of Hostinec U Semináru?,Hostinec U Semináru is a stylish restaurant located at Smetanova 30,"['Hostinec U Semináru is a stylish restaurant located at Smetanova 30, specializing in traditional Czech cuisine with an influence from the Austro-Hungarian Empire times. The restaurant offers a unique atmosphere complemented by Pilsner beer and an aura of nostalgia. For more information, visit their website at www.useminaru.cz.\nSmetanova 30\nHostinec U Semináru\nHostinec U Semináru is a traditional Czech restaurant in Brno offering a nostalgic atmosphere along with Pilsner beer and dishes inspired by the Austro-Hungarian cuisine.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf', 'Come taste the magic of the olden days! Smetanova 30 U Semináru is a stylish restaurant with a unique atmosphere, Pilsner beer, and traditional cuisine inspired by the times of the Austro-Hungarian Empire.\nSmetanova 30\nHostinec U Semináru\nStylish restaurant with a unique atmosphere, Pilsner beer, and traditional cuisine inspired by the Austro-Hungarian Empire.; url: www.useminaru.cz']","Hostinec U Semináru is a stylish restaurant located at Smetanova 30, specializing in traditional Czech cuisine with an influence from the Austro-Hungarian Empire times. The restaurant offers a unique atmosphere complemented by Pilsner beer and an aura of nostalgia. For more information, visit their website at www.useminaru.cz.
Smetanova 30
Hostinec U Semináru
Hostinec U Semináru is a traditional Czech restaurant in Brno offering a nostalgic atmosphere along with Pilsner beer and dishes inspired by the Austro-Hungarian cuisine.",0.7655666666475275,0.9010351344591203,0.0,1.0
What is the specialty of Kohout NA VÍNĚ restaurant?,"Kohout NA VÍNĚ is a restaurant that specializes in coq au vin, which aptly translates to the name of the restaurant in Czech. The chefs at this establishment continually adapt the recipe to showcase their current ideas and culinary skills. The restaurant boasts a selection of over 200 wines from around the world, emphasizing those from Moravia and Bohemia.","['Kohout NA VÍNĚ is a restaurant that specializes in coq au vin, which aptly translates to the name of the restaurant in Czech. The chefs at this establishment continually adapt the recipe to showcase their current ideas and culinary skills. The restaurant boasts a selection of over 200 wines from around the world, emphasizing those from Moravia and Bohemia. For those planning private celebrations or business events, Kohout NA VÍNĚ provides two tasting menus, each paired thoughtfully with wines.\nMalinovského náměstí 2\nKohout NA VÍNĚ: A Premier Dining Experience in Brno\nKohout NA VÍNĚ is a specialized restaurant in Brno offering coq au vin alongside a diverse selection of over 200 global wines, with a focus on local Moravian and Bohemian varieties. It caters to private and business events with tailored tasting menus accompanied by expertly chosen wine pairings. The restaurant is known for its dynamic culinary approach and excellent service.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf', 'This restaurant specializes in coq au vin (the Czech translation is the name of the restaurant), with the exact preparation changing and reflecting the chefs? current ideas and skills. It offers more than 200 wines from around the world, with a primary focus on Moravia and Bohemia. For private celebrations and business events, the restaurant offers two tasting menus with annotated wine pairings. Malinovského náměstí 2, kohout-na-vine.cz\nMalinovského náměstí 2\nKohout NA VÍNĚ\nSpecializing in coq au vin and offering a wide variety of wines, this restaurant provides an exquisite dining experience for private celebrations and business events. Address: Malinovského náměstí 2. For more information, visit kohout-na-vine.cz; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf']","Kohout NA VÍNĚ is a restaurant that specializes in coq au vin, which aptly translates to the name of the restaurant in Czech. The chefs at this establishment continually adapt the recipe to showcase their current ideas and culinary skills. The restaurant boasts a selection of over 200 wines from around the world, emphasizing those from Moravia and Bohemia. For those planning private celebrations or business events, Kohout NA VÍNĚ provides two tasting menus, each paired thoughtfully with wines.",0.9519999999762,0.8376486945255965,1.0,0.6666666666666666
Where to eat japanese sushi and sake in Brno?,"MANYA Sushi & Sake Izakaya is not just a typical sushi bar but a Japanese-inspired Izakaya that offers a unique dining experience in Brno, capturing the nocturnal ambiance of Tokyo.","['“Think you know everything about Japanese cuisine? Then you’re in for a pleasant surprise."" Not a bistro or just another sushi bar. This is MANYA – Izakaya! opened the gate to Tokyo at night at Průchodní 2 and pass under Godzilla to share big and small bowls overflowing with Japanese food or delicate sushi, while absorbing the informal atmosphere as well as Japanese sake.\nPrůchodní 2, Brno, Czech Republic\nMANYA Sushi & Sake Izakaya\nMANYA Sushi & Sake Izakaya is not just a typical sushi bar but a Japanese-inspired Izakaya that offers a unique dining experience in Brno, capturing the nocturnal ambiance of Tokyo. It offers a range of traditional Japanese dishes served in both small and large bowls, accompanied by a variety of sake.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf']","Where to eat Japanese sushi and sake in Brno? According to our data, MANYA – Izakaya is a great place to try Japanese food or delicate sushi with Japanese sake in Brno. It's not just a typical sushi bar but a Japanese-inspired Izakaya that offers a unique dining experience.",0.9519999999762,0.9197442976113503,0.5,1.0
What type of food does Mikrofarma specialize in?,"High-quality, dry-aged meats sourced locally.","['Mikrofarma offers perfectly crafted street food featuring excellent, slowly dry-aged meat sourced from Moravian farmers. It is the only bistro in the area where you can get a cut-up steak in a cone to go. Menu items include pastrami in a sandwich, home-made sauce, and brioche burger buns, all prepared without chemicals. Additionally, they offer lemonades, good wine, fizzy drinks, and regional draught beer.\nBěhounská 18, Brno, Czech Republic\nMikrofarma: A Paradise for Meat Lovers in Brno\nMikrofarma is a unique street food bistro in Brno that specializes in high-quality, dry-aged meats sourced locally. Visitors can enjoy a variety of meat dishes, including a unique steak in a cone, as well as a selection of beverages such as lemonades, wine, and regional beers.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf', 'Perfectly crafted street food with excellent, slowly dry-aged meat by Moravian farmers. And the only bistro where you can get a cut-up steak in a cone to go. Pastrami in a sandwich, home-made sauce and brioche burger buns, with no chemicals needed! Add lemonades, good wine, fizzy drinks, and regional draught beer.\nBěhounská 18\nMikrofarma\nMikrofarma is a street food bistro offering excellent, slowly dry-aged meat by Moravian farmers. They serve a variety of items including pastrami sandwiches, brioche burger buns, lemonades, wine, and regional draught beer. Only bistro where you can get a cut-up steak in a cone to go.; url: mikrofarma.cz']","Mikrofarma offers perfectly crafted street food featuring excellent, slowly dry-aged meat sourced from Moravian farmers. It is the only bistro in the area where you can get a cut-up steak in a cone to go. Menu items include pastrami in a sandwich, home-made sauce, and brioche burger buns, all prepared without chemicals. Additionally, they offer lemonades, good wine, fizzy drinks, and regional draught beer.",0.0,0.9004824121584033,0.0,0.0
Where to eat Ramen in Brno?,"Ramen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. They are located at Václavská 16, Brno, Czech Republic. The restaurant also has a secondary location at Křenová 62a.","['Ramen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it’s a type of fast food. They also have a second location at Křenová 62a.\nVáclavská 16\nRamen Brno\nRamen Brno offers a quick Japanese meal combining popular Czech flavors. Their home-made noodles are covered in strong broths, flavored oils, and topped with marinated eggs and slow-cooked meat. The restaurant prepares the ramen right before your eyes in an open kitchen, claiming it to be a type of fast food. There is also a second location at Křenová 62a.; url: ramen-brno.cz', '“No need to head for Japan to get a balanced ramen made of premium ingredients. This is your place now!""\nRamen is a quick Japanese meal surprisingly combining popular Czech flavours. Bowls full of home-made noodles are covered in strong broths with variously flavoured oils and topped with marinated eggs, slow-cooked meat, and many other ingredients. Ramen is prepared freshly within a few minutes right before your eyes in an open kitchen, which is why the owners claim it’s a type of fast food. They also have a second location at Křenová 62a.\nVáclavská 16, Brno, Czech Republic\nRamen Brno: Authentic Japanese Cuisine\nRamen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. The restaurant also has a secondary location at Křenová 62a.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf']","Ramen Brno offers a quick Japanese meal combining popular Czech flavors. Their home-made noodles are covered in strong broths, flavored oils, and topped with marinated eggs and slow-cooked meat. The restaurant prepares the ramen right before your eyes in an open kitchen, claiming it to be a type of fast food. There is also a second location at Křenová 62a.",0.9519999999523999,0.8664231783656149,1.0,1.0
What type of cuisine does Singha Thai Restaurant serve?,"This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs.","[""The Museum of Decorative Arts of the Moravian Gallery in Brno underwent significant changes in 2021 with a new concept titled ART DESIGN FASHION. This initiative highlights the museum's commitment to not only design but also fashion, and the interaction between design and art. The permanent exhibition, featuring works and new installations by leading Czech designers, transforms the museum into a showcase for Czech design excellence. Designers involved in this reconfiguration include Maxim Velčovský, Radek Wohlmuth, edit! studio, Eva Eisler, David Karásek, and the Olgoj Chorchoj studio with Marek Štěpán. Recently, the museum also features interventions by artist Krištof Kintera, particularly his 'Demon of Growth'.\nBrno, Czech Republic\nMuseum of Decorative Arts at the Moravian Gallery\nThe Museum of Decorative Arts in Brno showcases a refreshed concept focussing on ART DESIGN FASHION since 2021. It features both a permanent exhibition and installations by renowned Czech designers, exploring the synergy between design, art, and fashion. Notable recent additions include works by Krištof Kintera.; url: https://moravska-galerie.cz/vystavy/stale-expozice/art-design-fashion/""]",Singha Thai Restaurant serves Thai cuisine.,0.519999999523999,0.91000000000003,1.0,1.0
What does Soul Bistro in Brno offer?,"Brno offers a diverse menu suitable for breakfasts, work lunches, and celebratory dinners. Its menu features a variety of dishes including fluffy cakes, light salads, fish & chips, and shredded-beef sandwiches, all served in a light and clean environment.","[{'title': 'SOUL BISTRO, Brno - Restaurant Reviews, Photos & Phone Number - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html', 'body': 'Soul Bistro. Claimed. Review. Share. 216 reviews #14 of 753 Restaurants in Brno $$ - $$$ International European Asian. Jezuitska 10/7, Brno 602 00 Czech Republic +420 776 110 006 Website. Open now : 08:00 AM - 10:00 PM.'}, {'title': 'SOUL BISTRO, Brno - Updated 2024 Restaurant Reviews ... - Tripadvisor', 'href': 'https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html', 'body': 'Soul Bistro. Claimed. Review. Share. 216 reviews. #14 of 753 Restaurants in Brno ££ - £££, International, European, Asian. Jezuitska 10/7, Brno 602 00 Czech Republic. +420 776 110 006 + Add website.'}, {'title': 'Soul Bistro restaurant, Brno - Restaurant menu and reviews', 'href': 'https://restaurantguru.com/Soul-Bistro-Brno', 'body': 'Soul Bistro is recommended for the International cuisine offered. Ordering perfectly cooked salmon, beef sandwiches and fish & chips is a nice experience here. Try good bagels, tiramisu and cheesecakes. Delicious wine or good beer are the most popular drinks of this place. Here you may drink great lemonade, chai latte or matcha.'}, {'title': 'SOUL BISTRO - Updated May 2024 - 24 Photos & 10 Reviews - Yelp', 'href': 'https://www.yelp.com/biz/soul-bistro-brno', 'body': 'Offers Takeout. No Delivery. Accepts Credit Cards. 9 More Attributes. ... They recommended a local Riesling and it was a good match. Soul Bistro is just a few steps from the Mahen Theater and the opera house. Helpful 0. Helpful 1. Thanks 0. Thanks 1. Love this 0. Love this 1. Oh no 0. Oh no 1. Anesia R. Berlin, Germany. 27. 2. 4. Sep 6, 2016. 1 ...'}, {'title': 'Soul Bistro | Go To Brno', 'href': 'https://www.gotobrno.cz/en/taste-brno/soul-bistro/', 'body': 'A bistro with a soul. A light, clean interior and simple, high-quality food reflecting the season. ... ©TIC BRNO, a public-benefit corporation Radnická 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit corporation and is financially supported by the statutory city of Brno.'}]","Soul Bistro in Brno offers international cuisine with options such as perfectly cooked salmon, beef sandwiches, and fish & chips. They also serve good bagels, tiramisu, and cheesecakes. You can drink great lemonade, chai latte, or matcha while enjoying the atmosphere.",0.95199999998096,0.9094948188574711,0.6666666666666666,0.0
Where to get coffee and kombucha?,"Večerka Brno is a café bistro located on Pekařská Street, offering a unique fusion of Czech and Vietnamese cuisines. The place also specializes in premium coffee and their own kombucha called KMBCH coffee.","['Veckra Brno \x80A perfect fusion of Czech and Vietnamese cuisines at a stylish place. Its name means convenience store in Czech, but you wonâ\x80\x99t find all kinds of stuff there. In this café bistro on Pekařská Street, the crew bravely combines Czech and Vietnamese cuisines and prepares premium coffee as well as their own kombucha KMBCH coffee.\nPekařská 9\nVečerka Brno\nA fusion of Czech and Vietnamese cuisines at a stylish cafe bistro on Pekařská Street, offering premium coffee and their own kombucha KMBCH coffee.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf', 'An espresso bar and a roasting place producing premium coffee at the premises of a rowing club by the fizzing Svratka River. Grab a bag of their amazing beans to make your favourite drinks at home or enjoy a coffee and some of their sweet or savoury snacks right there. Relax in one of the two outdoor seating areas and take in the atmosphere of the place, nestled among old docks and an interwar building.\nVeslařská 179 qb.coffee\nqb coffee roasters\nqb coffee roasters is an espresso bar and roasting place located at the premises of a rowing club near the Svratka River. They offer premium coffee, sweet and savoury snacks, and outdoor seating areas for visitors to enjoy.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf']","Veckra Brno is a perfect fusion of Czech and Vietnamese cuisines at a stylish place. Its name means convenience store in Czech, but you won’t find all kinds of stuff there. In this café bistro on Pekařská Street, the crew bravely combines Czech and Vietnamese cuisines and prepares premium coffee as well as their own kombucha KMBCH coffee.
Pekařská 9
Večerka Brno
A fusion of Czech and Vietnamese cuisines at a stylish cafe bistro on Pekařská Street, offering premium coffee and their own kombucha KMBCH coffee. Also, qb.coffee is an espresso bar and roasting place producing premium coffee at the premises of a rowing club by the fizzing Svratka River.",0.6082222222019481,0.7776109987085813,1.0,0.0
What is unique about Cukrárna BezCukru?,"It is Brno's first low-carb confectionery, making it a haven for those on sugar-free and gluten-free diets.","['Everything here feels like a regular cafe. From the rich aroma of Coffee Square coffee to the showcased delicacies. Only this is the first low-carb confectionary in Brno, using zero sugar or flour, so even celiac dieters can enjoy it. The small cream puff with a big heart sells best, and the select ingredients used are just the icing on the proverbial cake.\nNovobranská 4\nCukrarna BezCukru\nCukrarna BezCukru is the first low-carb confectionary in Brno, offering delicious desserts for everyone. It uses zero sugar or flour, making it suitable for celiac dieters. The small cream puff with a big heart is a popular choice, and the select ingredients used are a highlight of this unique cafe.; url: https://www.bezcukru.com']","Everything here feels like a regular cafe. From the rich aroma of Coffee Square coffee to the showcased delicacies. Only this is the first low-carb confectionary in Brno, using zero sugar or flour, so even celiac dieters can enjoy it. The small cream puff with a big heart sells best, and the select ingredients used are just the icing on the proverbial cake.
Novobranská 4
Cukrarna BezCukru
Cukrarna BezCukru is the first low-carb confectionary in Brno, offering delicious desserts for everyone. It uses zero sugar or flour, making it suitable for celiac dieters. The small cream puff with a big heart is a popular choice, and the select ingredients used are a highlight of this unique cafe.",0.9519999999762,0.9190793668417652,1.0,1.0
