,question,contexts,ground_truth,answer,context_precision,faithfulness,answer_relevancy,context_recall
0,What is Element Restaurant known for?,"['[\'“An excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends."" Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.\\nBěhounská 7, Brno, Czech Republic\\nElement Restaurant: Culinary Experience in Brno\\nElement is a restaurant in Brno offering a globally inspired menu prepared from local ingredients by head chef Tomaš Reger. The restaurant is known for its top-quality meals and original cocktails, served by champion bartender Jan Liška. It\\\'s a perfect spot for dinner with partners or friends.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf\', \'Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomáš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan LiÅ¡ka.\\nBěhounská 7\\nElement\\nAn excellent fusion of top-quality meals and original drinks, ideal for a dinner with your partner or friends.; url: elementbrno.com\']']","Element combines first-rate food and cocktails. Behind its globally inspired menu from local ingredients stands the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. His food is complemented by drinks from champion bartender Jan Liška.","Element Restaurant is known for its excellent fusion of top-quality meals and original drinks, making it an ideal spot for dinner with your partner or friends. The globally inspired menu is prepared from local ingredients by the well-travelled head chef Tomaš Reger, who has gained culinary experience from around the world. The food is complemented by drinks from champion bartender Jan Liška.",0.9999999999,1.0,1.0000000000000016,1.0
1,What is the address of Hostinec U Semináru?,"['[{\'title\': \'HOSTINEC U SEMINARU, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor\', \'href\': \'https://www.tripadvisor.com/Restaurant_Review-g274714-d4768092-Reviews-Hostinec_U_Seminaru-Brno_South_Moravian_Region_Moravia.html\', \'body\': ""Smetanova 631/30, Brno 602 00 Czech Republic. +420 549 213 648 + Add website. Open now 11:00 AM - 12:00 AM. Improve this listing. See all (61) 4.5. 143 reviews. There aren\'t enough food, service, value or atmosphere ratings for Hostinec U Seminaru yet. Be one of the first to write a review!""}, {\'title\': \'HOSTINEC U SEMINARU, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor\', \'href\': \'https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d4768092-Reviews-Hostinec_U_Seminaru-Brno_South_Moravian_Region_Moravia.html\', \'body\': \'Hostinec U Seminaru. Review. Share. 143 reviews #36 of 753 Restaurants in Brno ££ - £££ European Czech Central European. Smetanova 631/30, Brno 602 00 Czech Republic +420 549 213 648 Website Menu. Open now : 11:00 AM - 11:00 PM.\'}, {\'title\': \'Hostinec U Semináru (Brno, Veveří) + Denní menu • Firmy.cz\', \'href\': \'https://www.firmy.cz/detail/2195494-hostinec-u-seminaru-brno-veveri.html\', \'body\': \'Aktuální ověřené informace: adresa, telefon, e-mail, denní menu, provozní hodiny a hodnocení Hostinec U Semináru, Brno, Veveří. Telefon: 549 213 … Přidat firmu. Osobní menu. Seznam.cz. Hostinec U Semináru Denní menu (11:00-14:00) ... Sreality.cz Byty Domy Pozemky ...\'}, {\'title\': \'Hostinec U Semináru restaurant, Brno - Restaurant menu and reviews\', \'href\': \'https://restaurantguru.com/Hostinec-U-Seminaru-Brno\', \'body\': \'Hostinec U Semináru, #237 among Brno restaurants: 1415 reviews by visitors and 205 detailed photos. ... Address. Smetanova 631, Brno, South Moravian Region, Czech Republic . Features. Outdoor seating Wi-Fi Booking No delivery Takeaway Not wheelchair accessible. Opening hours. Sunday Sun:\'}, {\'title\': \'Hostinec U Semináru - recenze, fotky, otevírací doba, menu, telefon a ...\', \'href\': \'https://nicelocal.cz/brno/restaurants/hostinec_u_seminaru/\', \'body\': \'Hostinec U Semináru, distrikty Veveří, Brno: fotky, poloha a kontaktní údaje, otevírací doba a 100 recenze od návštěvníků na Nicelocal.cz. Hodnocení restaurací a kaváren v Brno, podobné stravovací podniky v okolí.\'}]']",Hostinec U Semináru is a stylish restaurant located at Smetanova 30,"Hostinec U Semináru is located at Smetanova 631/30, Brno 602 00, Czech Republic. You can contact them via +420 549 213 648 and view their menu on the restaurant's official website.",0.9999999999,1.0,0.9640276637098522,1.0
2,What is the specialty of Kohout NA VÍNĚ restaurant?,"[""[{'title': 'Kohout NA VÍNĚ | art wine restaurant', 'href': 'https://www.kohoutnavine.com/', 'body': 'Gourmet Brno 2022 competition. The restaurant specialty is coq au vin. The exact preparation of the meal changes, reflecting the ideas and skills of the current cooking team. To make your dinner an all-evening affair, you can order a degustation menu, ... info@kohout-na-vine.cz .'}, {'title': 'Kohout NA VÍNĚ | art wine restaurant', 'href': 'https://www.kohout-na-vine.cz/', 'body': 'www.thecookbook.cz. Kohout NA VÍNĚ | art wine restaurant ... OBJEDNAT STŮL; Charitativní kuchařka ŽIVOT; next. prev. Kohout NA VÍNĚ | art wine restaurant. Kohout NA VÍNĚ je restaurace a vinný bar působící v reprezentativních prostorách Domu uměn ... 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz'}, {'title': 'KOHOUT NA VÍNĚ, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d9975071-Reviews-Kohout_NA_VINE-Brno_South_Moravian_Region_Moravia.html', 'body': 'Kohout NA VÍNĚ. Claimed. Review. Share. 84 reviews. #25 of 753 Restaurants in Brno $$ - $$$, European, Central European, Vegetarian Friendly. Malinovskeho namesti 652/2, Brno 602 00 Czech Republic. +420 777 904 570 + Add website. Closed now See all hours.'}, {'title': 'Týdenní NABÍDKA | Kohout na víně', 'href': 'https://www.kohout-na-vine.cz/tydenni-nabidka-0/', 'body': 'Kohout NA VÍNĚ; art wine restaurant; Dům umění; Malinovského nám. 652/2; 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz'}, {'title': 'Aktuální Á la carte menu | Kohout na víně', 'href': 'https://www.kohout-na-vine.cz/menu/', 'body': 'Vyhrazujeme si právo na změnu menu z důvodu dostupnosti surovin na trhu, především u lokálních farmářů. ... Kohout NA VÍNĚ; art wine restaurant; Dům umění; Malinovského nám. 652/2; 602 00 Brno +420 777 904 570; info@kohout-na-vine.cz .'}]""]","Kohout NA VÍNĚ is a restaurant that specializes in coq au vin, which aptly translates to the name of the restaurant in Czech. The chefs at this establishment continually adapt the recipe to showcase their current ideas and culinary skills. The restaurant boasts a selection of over 200 wines from around the world, emphasizing those from Moravia and Bohemia.","The specialty of Kohout NA VÍNĚ restaurant is coq au vin, with a changing preparation reflecting the ideas and skills of the current cooking team.",0.9999999999,1.0,1.000000000000001,0.3333333333333333
3,Where to eat japanese sushi and sake in Brno?,"['[{\'title\': \'MANYA Sushi & Sake Izakaya\', \'href\': \'https://www.manyabrno.cz/en/home\', \'body\': \'Japanese food full of umami, sake from Japan, delicious sushi, friendly atmosphere and retro-maximal interior. ... drink sake and eat well. ... +420 774 238 918 izakaya@manyabrno.cz Průchodní 2, 602 00 Brno-střed. About Menu Gallery\'}, {\'title\': \'MANYA SUSHI & SAKE IZAKAYA, Brno - Tripadvisor\', \'href\': \'https://www.tripadvisor.com/Restaurant_Review-g274714-d23630523-Reviews-Manya_Sushi_Sake_Izakaya-Brno_South_Moravian_Region_Moravia.html\', \'body\': \'Manya Sushi & Sake Izakaya. Unclaimed. Review. Share. 5 reviews. #211 of 753 Restaurants in Brno Japanese. Průchodní 2, Brno 60200 Czech Republic. +420 774 238 918 + Add website. Closed now See all hours.\'}, {\'title\': \'MANYA Sushi & Sake Izakaya | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/taste-brno/manya-sushi-sake-izakaya/\', \'body\': \'Open the gate to Tokyo at night at Průchodni 2 and pass under Godzilla to share big and small bowls overflowing with Japanese food or delicate sushi, while absorbing the informal atmosphere as well as Japanese sake. ... +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit corporation and is financially supported by the ...\'}, {\'title\': \'MANYA Sushi & Sake Izakaya\', \'href\': \'https://www.manyabrno.cz/\', \'body\': \'🥢Jsme MANYA -🏮Izakaya jak Brno. Japonské jídlo🍱 plné umami a foodsharing, spousta misek a mističek - tradiční keramika, 🍶sake z Japanu, delikátní 🍣sushi, přátelská atmosféra, 🍾večírek a retro-maximanyální interiér.🦑 ... +420 774 238 918 izakaya@manyabrno.cz Průchodní 2, 602 00 Brno-střed. O nás Menu ...\'}, {\'title\': \'KOISHI - Updated May 2024 - 17 Photos - Údolní 11, Brno, Czech ... - Yelp\', \'href\': \'https://www.yelp.com/biz/koishi-brno\', \'body\': \'9 reviews and 17 photos of KOISHI ""The best restaurant in Brno, considered one of the best in the country. They offer great sea food, sushi prepared by Japanese sushi masters, and Asian fusion. Their service is superb. During lunch time you mostly get the place, it is ideal for business lunch. In the evenings, the place gets more romantic.\'}]']","MANYA Sushi & Sake Izakaya is not just a typical sushi bar but a Japanese-inspired Izakaya that offers a unique dining experience in Brno, capturing the nocturnal ambiance of Tokyo.","You can try MANYA Sushi & Sake Izakaya for Japanese food including sushi and sake in Brno. The restaurant is located at Průchodní 2, 602 00 Brno-střed. You can contact them via +420 774 238 918 or izakaya@manyabrno.cz. They have a retro-maximal interior and offer foodsharing with traditional ceramics, Japanese sake and delicately prepared sushi.",0.9999999999,1.0,0.8347950510984666,1.0
4,What type of food does Mikrofarma specialize in?,"[""[{'title': 'Bistro Brno - Mikrofarma', 'href': 'https://www.mikrofarma.cz/bistro-brno/', 'body': 'Bistro Mikrofarma Jakubák. Běhounská 18, Brno (na Jakubáku) zobrazit na mapě. +420 777 100 595 jakubak@mikrofarma.cz.'}, {'title': 'Hlavní strana - Mikrofarma', 'href': 'https://www.mikrofarma.cz/', 'body': 'BRNO Běhounská 18 • prodejna a bistro • Po-So • t: +420 777 100 595. PRAHA nám. Jiřího z Poděbrad 9 • řeznictví a bistro • Po-Ne • t: ... Brno: Mikrofarma Zelňák ukončila svůj provoz. 16. 9. 2023. Vážení zákazníci, přátelé, Mikrofarma Zelňák ukončila svůj provoz 15.9.2023. Děkujeme za přízeň.'}, {'title': 'Hlavní strana - Mikrofarma', 'href': 'https://www.mikrofarma.cz/en/', 'body': 'BRNO Moravské nám. 4 • bistro • Po-So • t: +420 777 100 595. BRNO Selská 81 • řeznictví • St-So • t: +420 777 100 383. PRAHA nám. Jiřího z Poděbrad 9 • řeznictví a bistro • Po-Ne • t: +420 226 228 188. Proč právě naše maso?'}, {'title': 'Bistro Brno - Mikrofarma', 'href': 'https://www.mikrofarma.cz/en/bistro-brno/', 'body': 'Moravské náměstí 4, Brno. (next to the Scala cinema) zobrazit na mapě. +420 777 100 595. moravak@mikrofarma.cz. Menu na čtvrtek 12. 8. 2021 5 p.m. Switch to english.'}, {'title': 'Mikrofarma | Go To Brno', 'href': 'https://www.gotobrno.cz/en/taste-brno/mikrofarma/', 'body': 'Perfectly crafted street food with excellent, slowly dry-aged meat by Moravian farmers. ... ©TIC BRNO, a public-benefit corporation Radnická 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit corporation and is financially supported by the statutory city of Brno.'}]""]","High-quality, dry-aged meats sourced locally.","Mikrofarma specializes in serving perfectly crafted street food with excellent, slowly dry-aged meat by Moravian farmers.",0.9999999999,1.0,0.96082203602049,0.0
5,Where to eat Ramen in Brno?,"['[{\'title\': \'Miska plná domácích nudlí a zalitá silným vývarem | Ramen Brno\', \'href\': \'https://ramen-brno.cz/\', \'body\': \'Japonské jídlo kombinující nejoblíbenější české chutě. Miska plná nudlí z naší nudlárny, zalitá silným vývarem s různě ochucenými oleji. K tomu vejce, pomalu pečené maso a řada dalších ingrediencí, jako jsou houby, či jarní cibulka. Vše připravené před vámi, v otevřené kuchyni.\'}, {\'title\': \'Home | Ramen Brno\', \'href\': \'https://ramen-brno.cz/en/home_en/\', \'body\': ""FOOD DELIVERY / MON - FRI / 11 - 19:45 - WOLT AND FOODORA (DÁME JÍDLO) ALL WELL BEHAVED DOGS ARE WELCOME / WE DON\'T TAKE RESERVATIONS. Japanese food combining the most popular flavours. A full bowl of homemade noodles, covered with strong broth and seasoned with different oils.""}, {\'title\': \'RAMEN BRNO - Restaurant Reviews, Photos & Phone Number - Tripadvisor\', \'href\': \'https://www.tripadvisor.com/Restaurant_Review-g274714-d15231574-Reviews-Ramen_Brno-Brno_South_Moravian_Region_Moravia.html\', \'body\': \'Ramen Brno. Claimed. Review. Share. 34 reviews. #3 of 12 Quick Bites in Brno $, Quick Bites, Japanese, International. Václavská 30/16 close to Mendlovo náměstí, Brno 60300 Czech Republic. +420 731 266 224 + Add website. Closed now See all hours.\'}, {\'title\': \'Ramen BRNO | Brno - Facebook\', \'href\': \'https://www.facebook.com/ramenbrno/\', \'body\': \'Ramen BRNO, Brno, Czech Republic. 6,612 likes · 56 talking about this · 884 were here. Bistra zaměřená na oblíbené nudle RAMEN. Václavská 16 Křenová 62a\'}, {\'title\': \'Ramen Brno | Go To Brno\', \'href\': \'https://www.gotobrno.cz/ochutnejte/ramen-brno/\', \'body\': \'Ramen Brno „Pro vyladěný ramen z prvotřídních surovin nemusíte do Japonska - stačí si zajít sem!"" ... Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO, příspěvková organizace je finančně podporována statutárním městem Brnem. Facebook Instagram. Spravovat Souhlas s cookies.\'}]']","Ramen Brno offers a unique dining experience with its freshly prepared, authentically Japanese ramen that integrates popular Czech flavors. Situated in an open-kitchen setting, guests can watch their meals being made, highlighting its fast-food nature. They are located at Václavská 16, Brno, Czech Republic. The restaurant also has a secondary location at Křenová 62a.","You can try Ramen Brno which offers Japanese food combining popular flavors. A bowl of homemade noodles is covered with strong broth and seasoned with different oils. They are located at Václavská 30/16 close to Mendlovo náměstí, Brno 60300, Czech Republic. You can find their delivery options on their website or through Wolt and Foodora.
Check out their Facebook page for more information.",0.9999999999,1.0,0.957281247237194,1.0
6,What type of cuisine does Singha Thai Restaurant serve?,"['[\'This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs. Forget all about glutamate! This place also caters to vegetarians, vegans, and the gluten-sensitive.\\nOrlí 6\\nSingha Thai Restaurant\\nSingha Thai Restaurant serves fresh, high-quality meals with a focus on artful presentation. It is located in the center of Brno and caters to vegetarians, vegans, and the gluten-sensitive.; url: singhathairestaurant.cz\', \'“Serving fresh meals with a smile while absolutely spoiling you."" This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs. Forget all about glutamate! This place also caters to vegetarians, vegans, and the gluten-sensitive.\\nOrlí 6, Brno, Czech Republic\\nSingha Thai Restaurant\\nSingha Thai Restaurant offers a variety of freshly prepared meals with an emphasis on high-quality ingredients, free from glutamate. Located in central Brno, the restaurant provides options for vegetarians, vegans, and those sensitive to gluten. It is known for its skilled chefs and artful meal presentations.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf\']']","This Thai restaurant in the centre of Brno focuses on fresh, high-quality ingredients that you can watch get turned into works of art by their experienced chefs.","Singha Thai Restaurant serves fresh, high-quality meals with a focus on artful presentation and caters to vegetarians, vegans, and the gluten-sensitive. It is known for its skilled chefs and is located in central Brno.",0.9999999999,1.0,0.975567506269199,1.0
7,What does Soul Bistro in Brno offer?,"[""[{'title': 'Soul Bistro - Brno | Česká kuchyně blízko mě | Zamluvit nyní', 'href': 'https://soulbistro.eatbu.com/?lang=cs', 'body': 'Kontaktovat nás můžete jednoduše na uvedené e-mailové adrese soulbistro.brno@gmail.com nebo přes telefonní číslo +420773179212. Přijímáme platby Apple Pay, stravenky Ticket Restaurant®, karty Maestro, debetní karty, karty VISA, bezkontaktní platby a karty Mastercard. Samozřejmě můžete platit i v hotovosti.'}, {'title': 'SOUL BISTRO, Brno - Restaurant Reviews, Photos & Phone Number - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html', 'body': 'Soul Bistro. Claimed. Review. Share. 216 reviews #14 of 753 Restaurants in Brno $$ - $$$ International European Asian. Jezuitska 10/7, Brno 602 00 Czech Republic +420 776 110 006 Website. Open now : 08:00 AM - 10:00 PM.'}, {'title': 'SOUL BISTRO, Brno - Updated 2024 Restaurant Reviews ... - Tripadvisor', 'href': 'https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d6661895-Reviews-Soul_Bistro-Brno_South_Moravian_Region_Moravia.html', 'body': 'Soul Bistro. Claimed. Review. Share. 216 reviews. #14 of 753 Restaurants in Brno ££ - £££, International, European, Asian. Jezuitska 10/7, Brno 602 00 Czech Republic. +420 776 110 006 + Add website.'}, {'title': 'Soul Bistro | Brno - Facebook', 'href': 'https://www.facebook.com/people/Soul-Bistro/100076868095554/', 'body': 'Soul Bistro, Brno, Czech Republic. 10,343 likes · 29 talking about this · 3,045 were here. Bistro s denně aktualizovanou nabídkou tradičních, lehčích i vegetariánských jídel se zaměřením na čerstvé... Soul Bistro, Brno, Czech Republic. 10,344 likes · 17 talking about this · 3,046 were here. ...'}, {'title': 'Soul Bistro restaurant, Brno - Restaurant menu and reviews', 'href': 'https://restaurantguru.com/Soul-Bistro-Brno', 'body': 'Soul Bistro, 🥇 #190 among Brno restaurants: ️ 1921 reviews by visitors and 23 detailed photos. This place provides food for CZK 120 - CZK 210. Find on the map and call to book a table. ... Brno, South Moravian Region, Czech Republic. Claim your business. Address. Jezuitská 10, Brno, South Moravian Region, Czech Republic .'}]""]","Brno offers a diverse menu suitable for breakfasts, work lunches, and celebratory dinners. Its menu features a variety of dishes including fluffy cakes, light salads, fish & chips, and shredded-beef sandwiches, all served in a light and clean environment.","Soul Bistro in Brno is a restaurant that offers international, European, and Asian cuisine. They have a daily updated menu with traditional, lighter, and vegetarian meals. You can contact them via email at soulbistro.brno@gmail.com or by phone at +420773179212. They accept various payment methods including Apple Pay, stravenky Ticket Restaurant®, Maestro, debit cards, VISA, bezkontaktní platby, Mastercard, and cash. It is ranked #14 out of 753 restaurants in Brno on Tripadvisor.",0.9999999999,1.0,0.9660609220995447,0.0
8,Where to get coffee and kombucha?,"['[{\'title\': \'The 7 Best Cafes in Brno, Czech Republic - World of Wanderlust\', \'href\': \'https://worldofwanderlust.com/the-7-best-cafes-in-brno-czech-republic/\', \'body\': ""Monogram. A small boutique coffee bar, it\'s the perfect spot to sit with a coffee and read. With very little food (mostly just smalls snacks) it\'s best for a quick coffee break. Conveniently located close to the city centre and the train station it\'s perfect for refuelling while exploring Brno. Address: 12, Kapucínské náměstí 310 ...""}, {\'title\': \'8 Cafés You Definitely Have to Visit in Brno | Foreigners.cz Blog\', \'href\': \'https://blog.foreigners.cz/8-cafes-you-definitely-have-to-visit-in-brno/\', \'body\': ""Here\'s the list of the top 8 cafés we recommend you visit while you\'re staying in Brno! Sweet and coffee heaven at Skog Urban Hub. SKØG Urban Hub. The ultimate king of Brno cafés. Skog opened several years ago and gained popularity pretty quickly. Its Scandinavian design and excellent coffee draw tons of visitors each day.""}, {\'title\': \'The Sprudge Guide To Coffee In Brno, Czechia | Sprudge Coffee\', \'href\': \'https://sprudge.com/the-sprudge-guide-to-coffee-in-brno-czechia-219014.html\', \'body\': \'Punkt. For this cafe bar, which Brno\\\'s tourism site has called ""a piece of Berlin in Brno"" (translation mine), it\\\'s all in the name: Punkt. offers great coffee—and cake—period.. An oft-praised darling of the Brno specialty coffee scene founded in 2016, Punkt. is located on a residential street to the west of Lužánky Park, a large green space that I like to think of as the Central ...\'}, {\'title\': \'The 31 best coffee shops and best cafes in Brno - Wanderlog\', \'href\': \'https://wanderlog.com/list/geoCategory/17247/\', \'body\': \'Blogger — 15 best coffee shops in Brno; Foreigners.cz Blog ... The location rocks too in central Brno. Highly recommended. Ian Lyons — Google review. Great place with history. Bunker is also a hostel, so you can spend the time in Brno in very specific environment. In museum you can find original equipment from times of WWII.\'}, {\'title\': \'6 Cafes in Brno To Go To for a Perfect Cup of Coffee\', \'href\': \'https://europeancoffeetrip.com/coffee-guide-brno/\', \'body\': \'Veveri 456/9, 602 00 Brno Facebook. COFFEE FUSION ""The only way to prepare coffee the way it deserves to be was to open my own shop"" says Michal Kocman, owner and head barista of Coffee Fusion, twice National barista champion (2009, 2014), he recently placed 18th during the 2014 WBC held in Rimini, Italy.\'}]']","Večerka Brno is a café bistro located on Pekařská Street, offering a unique fusion of Czech and Vietnamese cuisines. The place also specializes in premium coffee and their own kombucha called KMBCH coffee.","There are several great cafes in Brno to choose from, including Monogram, a small boutique coffee bar with quick coffee break options and a convenient location close to the city center and train station. Skog Urban Hub is another top-recommended spot, known for its Scandinavian design and excellent coffee, as well as Punkt., which offers great coffee and cake on a residential street to the west of Lužánky Park. Additionally, Coffee Fusion, led by two-time national barista champion Michal Kocman, is also a popular choice among locals and tourists alike.",0.0,1.0,0.8259004301085685,0.0
9,What is unique about Cukrárna BezCukru?,"['[{\'title\': \'BezCukru - nová low carb cukrárna v centru Brna | www.coolbrnoblog.cz\', \'href\': \'https://www.coolbrnoblog.cz/bezcukru-nova-low-carb-cukrarna-v-centru-brna/\', \'body\': \'BezCukru - nová low carb cukrárna v centru Brna. O nové cukrárně BezCukru, kterou najdete v centru Brna, na Novobranské, jsem vám již několikrát psala na sociálních sítích svého blogu - a vždy se u vás právě tyto posty setkaly s velkým ohlasem. A já jsem moc ráda, protože sama jsem právě z tého cukrárny nadšená!\'}, {\'title\': \'Žijte zdravě BezCukru\', \'href\': \'https://bezcukru.com/\', \'body\': \'Nejlepší cukrarna,kde jsem kdy byla! I kdybyste snědli pět zakusku, budete mít skvělý pocit, protože jste snědli sladke, ale bez cukru. ... BezCukru, s.r.o. sídlo: Novobranská 4, 602 00 Brno Kontakty: info@bezcukru.com +420 601 234 034. Spojení: Banka: 235625072/0600 Datovka: m2tk45q. Firemní údaje: IČO: 095 58 187 DIČ: CZ09558187.\'}, {\'title\': \'Cukrárna BezCukru | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/taste-brno/cukrarna-bezcukru/\', \'body\': \'Cukrárna BezCukru. ""Delicious desserts for everyone."". Everything here feels like a regular cafe. From the rich aroma of Coffee Square coffee to the showcased delicacies. Only this is the first low-carb confectionary in Brno, using zero sugar or flour, so even celiac dieters can enjoy it. The small cream puff with a big heart sells best ...\'}, {\'title\': \'BezCukru: Ale přece sladké a výborné - Mňambezlepku.cz\', \'href\': \'https://www.mnambezlepku.cz/rozhovory/bezcukru/\', \'body\': \'BezCukru: Ale přece sladké a výborné. 3. 6. 2023. Chtěli byste navštívit cukrárnu bez lepku, bez cukru a třeba i vegan? Tak běžte do brněnského BezCukru! Tato cukrárna se nachází na Novobranské 4 v centru Brna, kousek od hlavního nádraží. Co jsem mohla vidět, zákazníci zde chodí na jistotu a mají to tu moc rádi.\'}, {\'title\': \'Žijte zdravě BezCukru - Brněnská cukrárna Bez Cukru\', \'href\': \'https://bezcukru.com/zivot-bez-cukru/\', \'body\': \'Proč se naše cukrárna jmenuje cukrárna BezCukru? Co proti tomu cukru vlastně máme? ... Příběh „low-carbáka"" z týmu BezCukru. Každý z vás má svůj důvod, proč by se chtěl stravovat bez sacharidů. ... BezCukru, s.r.o. sídlo: Novobranská 4, 602 00 Brno Kontakty: info@bezcukru.com +420 601 234 034. Spojení: Banka ...\'}]']","It is Brno's first low-carb confectionery, making it a haven for those on sugar-free and gluten-free diets.","Cukrarna BezCukru is a unique low carb bakery located in the center of Brno on Novobranska street. They offer delicious desserts without any sugar or flour, making them suitable for celiac dieters as well. The first small cream puff with a big heart is their best-seller.
",0.9999999999,1.0,0.9003329775336257,1.0
